from_stop_id,to_stop_id,transfer_type,min_transfer_time
2034,4036980,2,283
1731,3887776,2,279
1731,3887777,2,232
2413,4770163,2,54
2413,4770164,2,26
2126,1957,2,196
2466,4045013,2,206
3764747,1824,2,238
2208,1954,2,59
1953,3764653,2,200
3765208,1845,2,226
2077,2212,2,151
5018392,2208,2,198
2363,4472995,2,216
1729,3764663,2,202
2363,3887780,2,223
2442,4036998,2,279
5018389,1764,2,203
2363,4472992,2,251
2442,4036999,2,232
4037787,2219,2,282
4009616,2363,2,226
2363,4472993,2,252
2363,4472994,2,252
2219,4770182,2,199
2219,4770181,2,243
2219,4016327,2,248
2212,3749738,2,281
2219,4016326,2,243
2363,3442433,2,221
2219,4016325,2,223
3747973,2535,2,225
1975,4036821,2,247
2363,3442432,2,190
2219,4016324,2,243
4036295,1964,2,241
2363,3887778,2,280
1677,4726958,2,194
2363,3887779,2,288
1953,4035562,2,225
2363,3442434,2,228
1953,4035561,2,207
2212,3811292,2,281
2363,3442436,2,246
4009622,1731,2,279
4473153,2413,2,208
1645,2409,2,90
1964,2155,2,109
1975,3764813,2,268
4037787,1964,2,282
1677,4726957,2,281
4997012,1957,2,243
5018385,2230,2,247
2185,4036883,2,279
3747906,1957,2,207
1953,3666620,2,198
4016480,1975,2,268
1824,5151512,2,229
3813040,2502,2,191
1824,5151511,2,254
2185,4036885,2,197
1824,5151510,2,235
2363,3764967,2,213
2363,3764966,2,235
1953,3666621,2,203
2487,4726957,2,281
2487,4726958,2,194
1975,4770180,2,247
4472870,1953,2,196
1975,4439623,2,247
3812926,1845,2,176
2219,3764661,2,199
2219,3764660,2,252
2363,2364,2,381
2363,2365,2,108
3807564,1953,2,200
2363,2366,2,289
3741051,2212,2,216
3741063,2535,2,200
4037297,1824,2,251
1975,4770185,2,268
3754200,1996,2,237
4726739,2219,2,243
5018331,2208,2,237
1824,3687473,2,251
1729,3764619,2,202
1964,4036870,2,258
2363,3926246,2,251
3343776,2487,2,180
1742,4036849,2,206
4037786,1964,2,198
1742,4036848,2,204
4016453,2420,2,206
3747977,2212,2,282
2413,4889619,2,202
4473151,1692,2,191
1721,3687422,2,285
2223,2322,2,120
2466,4036993,2,260
4009620,1824,2,280
3812974,1692,2,192
3764751,2159,2,197
3764747,2363,2,238
3807564,2208,2,200
1953,1954,2,67
4010728,2110,2,201
2219,4036768,2,216
2219,4036769,2,282
2219,4036767,2,242
2219,3764812,2,218
1828,5138197,2,241
1953,4035915,2,207
2219,3764811,2,243
1828,5138196,2,190
1953,4035916,2,187
3764784,2363,2,238
3812920,1964,2,218
2472,3687426,2,215
1957,3811292,2,281
2185,3764671,2,212
4996965,2212,2,243
1845,4037040,2,196
2040,4472980,2,261
2219,4770183,2,256
1975,3764844,2,247
2219,3764603,2,263
1729,3764643,2,215
1677,1678,2,105
4473147,2363,2,251
1677,4037046,2,270
4473141,2413,2,54
3748031,1953,2,195
3812964,1721,2,285
3764437,1996,2,216
1953,2209,2,95
1964,4036869,2,199
2230,4036928,2,247
2212,3811223,2,217
2212,3811224,2,207
1957,2235,2,420
3807568,2487,2,194
2219,4036985,2,200
4036299,1764,2,203
2413,4770194,2,208
4016487,1964,2,254
1953,3666673,2,203
1953,3666672,2,198
3764708,2363,2,246
2219,4036986,2,258
1677,4036865,2,246
3926163,1742,2,199
1729,4036988,2,201
2034,4036933,2,206
2230,5289159,2,247
2219,3764617,2,216
5018399,1964,2,241
2040,4472999,2,277
2219,3764616,2,199
2219,3764615,2,252
1953,4035730,2,193
1735,4770163,2,54
1953,4035731,2,193
1735,4770164,2,26
3764439,1996,2,212
3764749,2413,2,38
1975,3764618,2,268
1692,4036879,2,230
3807583,2466,2,206
1958,1957,2,161
3741064,1655,2,208
2208,4044988,2,194
1721,4036993,2,260
3741064,2535,2,208
2152,4036854,2,232
2152,4036855,2,214
3764437,2185,2,216
1824,4037000,2,280
3812974,2502,2,192
1824,4037002,2,251
3754275,2159,2,216
1824,4037001,2,288
1996,5138192,2,279
4016510,2420,2,204
1824,4037004,2,222
4016428,2230,2,247
1996,5138195,2,211
1824,4037003,2,254
1729,4036927,2,215
1996,5138194,2,197
2212,3764605,2,207
2212,3764606,2,243
2472,4651132,2,215
2185,3764629,2,212
1996,1997,2,105
3730328,1735,2,241
3764698,2040,2,197
2411,3687421,2,221
4037296,2363,2,280
2413,3764635,2,90
2420,4036848,2,204
2411,3687420,2,197
2413,3764636,2,54
2420,4036849,2,206
1957,3811223,2,217
1957,3811224,2,207
2413,5138053,2,225
2413,5138052,2,26
1964,3764660,2,252
1964,3764661,2,199
2212,3764604,2,257
2159,3764673,2,277
2230,4037042,2,247
4035057,1735,2,54
3730328,2413,2,241
2219,3687241,2,242
2153,4037047,2,206
2219,3687242,2,282
1735,5325169,2,192
1735,4770194,2,208
1721,3748042,2,197
1721,3748041,2,197
1742,5150645,2,189
4726708,2411,2,229
1742,5150644,2,205
3730327,1735,2,206
3926164,2420,2,230
1735,4651121,2,54
3764486,2185,2,207
1735,5325170,2,214
3764695,1735,2,90
3741051,1957,2,216
2208,4036978,2,207
2208,4036979,2,246
1964,4459253,2,208
1964,4459252,2,242
2219,3687429,2,278
3747909,1953,2,195
2219,3687428,2,242
1957,3666723,2,243
1742,4016537,2,279
1742,4016536,2,279
1735,3813519,2,93
