from_stop_id,to_stop_id,transfer_type,min_transfer_time
2364,4045006,2,251
2475,4473031,2,270
2364,4045007,2,222
4739164,2117,2,196
5018410,2404,2,248
2030,5018182,2,257
2187,1997,2,155
2030,5018183,2,218
2364,4045008,2,213
2364,4045009,2,288
2030,5018181,2,279
3807591,1665,2,277
3765233,2497,2,222
2339,4037174,2,186
2339,4037173,2,210
4037252,1825,2,213
2339,4037172,2,225
3764747,1825,2,238
2339,4037171,2,217
1665,4037008,2,270
1826,1825,2,396
2404,3765258,2,222
4009616,2364,2,226
2339,3926286,2,253
2404,3765306,2,222
2339,3926289,2,186
2073,4008854,2,240
2339,3926287,2,225
4767046,2404,2,222
3748015,1789,2,255
2339,3926288,2,210
4473147,1825,2,251
1825,4473027,2,235
2241,1657,2,133
2364,3764994,2,190
1645,2409,2,90
1794,3765258,2,222
1825,4473028,2,254
4726762,2364,2,251
1825,4473029,2,229
2364,3764995,2,221
3764756,2364,2,246
3813115,2364,2,238
2364,5289149,2,222
2409,5138190,2,261
2391,3926247,2,288
2409,5138191,2,188
2094,3747849,2,205
2094,3747848,2,218
3343796,2094,2,180
5018355,2404,2,248
2073,4008887,2,186
3764561,1794,2,216
1782,2391,2,79
5018356,2404,2,214
2364,3687473,2,251
2186,4378088,2,216
4037538,2068,2,216
2497,4008856,2,252
2497,4008855,2,242
4471838,1836,2,200
2186,4378089,2,208
5121383,2364,2,265
2149,2148,2,89
2149,2147,2,20
1781,5121375,2,208
2186,5138048,2,197
2186,5138047,2,279
2363,2364,2,381
3747993,2339,2,188
5018411,2404,2,214
3343796,2081,2,180
3764486,1997,2,207
2364,5289150,2,216
1825,3887812,2,238
2094,3747851,2,207
4037297,1825,2,251
2391,3887810,2,218
2094,3747850,2,227
3747994,2339,2,199
4739165,2117,2,208
3754200,1997,2,237
1834,2371,2,90
2364,5289151,2,288
1781,4473030,2,208
4146147,2339,2,217
3764528,1794,2,199
2068,1956,2,900
1834,3926289,2,186
3813039,2364,2,213
1834,3926288,2,210
3765236,1687,2,225
4471839,2404,2,222
2364,1827,2,126
2149,4008223,2,208
2149,4008222,2,191
1834,3926287,2,225
4009618,1825,2,216
1834,3926286,2,253
1794,3765306,2,222
2068,1166830,2,180
4439518,1794,2,243
3716964,2117,2,196
2068,1166831,2,180
2497,3740323,2,251
1825,5122006,2,241
2497,3740322,2,252
1825,5122007,2,254
4022898,2030,2,241
2497,3740321,2,267
1825,5122008,2,233
3812959,1781,2,208
4739164,2068,2,196
4472549,2030,2,208
4037532,2117,2,196
4009620,1825,2,280
1836,3893375,2,200
4009619,1825,2,288
3343756,2537,2,180
2073,3740320,2,240
3749893,2537,2,187
1997,4472998,2,212
4472549,2149,2,208
2525,2409,2,90
3764747,2364,2,238
1997,3764671,2,212
4471735,2404,2,243
2073,3740324,2,186
1665,5289112,2,276
3716965,2117,2,208
3807618,2391,2,208
4726728,1665,2,277
4037538,2117,2,216
1687,2517,2,96
3716924,2117,2,196
3764784,2364,2,238
3764711,1825,2,223
2364,5289108,2,251
2364,5289109,2,254
2339,4037244,2,199
4022898,2149,2,241
2391,5121375,2,208
2364,5289107,2,280
3764437,1997,2,216
2186,5138192,2,279
1665,4473031,2,270
2186,5138194,2,197
2186,5138195,2,211
3813002,2073,2,226
1781,3926247,2,288
4473149,1825,2,222
4473147,2364,2,251
1836,3893374,2,215
3672105,2339,2,256
5018356,1794,2,214
3764708,2364,2,246
4471838,2303,2,200
4726763,2364,2,254
2497,2517,2,81
5121383,1825,2,265
3748017,1834,2,225
3764439,1997,2,212
2475,5121376,2,277
1781,4037007,2,208
2094,4036210,2,189
3764527,1794,2,243
3740533,1687,2,188
3764710,2364,2,228
1794,4036787,2,222
1794,4036786,2,243
2339,3748084,2,217
2149,4008385,2,191
2339,3748086,2,190
2339,3748085,2,225
2251,3811260,2,292
1794,3926337,2,216
3764437,2186,2,216
3764784,1825,2,238
4037296,2364,2,280
2094,4036201,2,233
2081,4036201,2,233
1996,1997,2,105
2030,4025423,2,259
2030,4025422,2,241
2149,4008285,2,191
2149,4008284,2,191
1834,4354462,2,217
5018357,2404,2,214
1781,3887810,2,218
3343755,1657,2,180
4471839,1794,2,222
4037298,1825,2,207
1648,1794,2,112
3765235,2497,2,208
2339,2531,2,200
1825,5289109,2,254
1825,5289107,2,280
1825,5289108,2,251
2117,3813090,2,196
1834,4354473,2,199
3747943,2094,2,233
3813001,2122,2,237
2117,1166830,2,180
2117,1166831,2,180
1781,5151513,2,208
3764486,2186,2,207
3740532,2497,2,222
1996,2186,2,84
3764758,1825,2,223
2364,3926188,2,213
2364,3926189,2,288
2068,3813090,2,196
2122,3740320,2,240
2122,3740324,2,186
2068,3813088,2,208
3807591,2475,2,277
2543,4035982,2,237
2068,3813087,2,216
4036882,2409,2,187
1834,1835,2,200
2068,3813089,2,216
2364,3926190,2,280
3748016,1834,2,217
2122,4008887,2,186
2543,4035983,2,288
2364,4472995,2,216
4473149,2364,2,222
2117,3813089,2,216
2364,4472994,2,252
2117,3813088,2,208
4036885,1997,2,197
2364,4472993,2,252
3813038,1825,2,238
2364,4472992,2,251
1834,1833,2,90
1645,1763,2,90
1834,1832,2,90
2497,1637,2,96
2117,3813087,2,216
3343755,2537,2,180
1825,5121374,2,211
1825,5121373,2,254
1825,5121372,2,226
3716965,2068,2,208
2030,2028,2,86
3764756,1825,2,246
3747943,2081,2,233
2030,2029,2,73
4146147,1834,2,217
4037252,2364,2,213
2404,3926308,2,243
2364,3442433,2,221
2404,3926309,2,199
2364,3442434,2,228
2364,3442432,2,190
3813139,2030,2,224
2364,3442436,2,246
4726703,1665,2,277
2149,2028,2,68
2149,2029,2,81
3764708,1825,2,246
2122,4008854,2,240
4767046,1794,2,222
3749894,2537,2,227
3672170,1834,2,256
3764561,2404,2,216
1824,1825,2,368
1825,3687473,2,251
4726727,2391,2,208
2186,3764629,2,212
4009667,1825,2,251
4439519,2404,2,222
3748017,2339,2,225
4037768,2149,2,241
1916,2537,2,143
1834,2302,2,180
3754199,2186,2,237
2409,5138046,2,261
2392,1781,2,121
1834,2531,2,200
2081,4036210,2,189
2149,3749982,2,217
2082,4035983,2,288
3764710,1825,2,228
2149,3749983,2,217
2082,4035982,2,237
3754200,2186,2,237
1825,1827,2,126
2030,2148,2,59
4037251,2364,2,252
1825,5289150,2,216
4471736,1836,2,215
2068,2211,2,900
1825,5289151,2,288
4472543,2497,2,252
5018357,1794,2,214
2404,3926337,2,216
2030,2147,2,74
3812959,2391,2,208
2186,4378105,2,208
1665,5151514,2,270
1825,5289149,2,222
2149,3740325,2,218
2403,2404,2,90
2475,5289112,2,276
4009616,1825,2,226
2081,3747849,2,205
2081,3747848,2,218
4471736,2303,2,215
1834,2338,2,90
1998,2186,2,130
3764590,2404,2,216
3747993,1834,2,188
2185,1997,2,101
4037768,2030,2,241
3672169,2339,2,225
1793,1794,2,90
3813112,1825,2,222
3740532,1687,2,222
3813001,2073,2,237
2149,3740315,2,201
5121382,2364,2,235
1665,5121376,2,277
1794,3926309,2,199
1794,3926308,2,243
4726728,2475,2,277
3343795,2081,2,180
2404,3893448,2,203
2404,3893447,2,216
1825,2366,2,101
2404,3893446,2,214
2404,3893445,2,248
2364,5151512,2,229
2364,5151511,2,254
3764785,1825,2,221
2364,5151510,2,235
2528,1794,2,98
3812976,2364,2,208
3812975,1825,2,190
4472550,2149,2,191
2149,4008849,2,208
2364,3926246,2,251
2149,4008848,2,191
3813116,2364,2,208
4036882,1763,2,187
4726747,2149,2,224
2149,2545,2,256
2187,2186,2,129
4008435,1780,2,273
4473148,1825,2,222
4726727,1781,2,208
1926,3811260,2,292
1825,4045009,2,288
2030,3749982,2,217
1825,4045007,2,222
5018355,1794,2,248
1825,4045008,2,213
2030,3749983,2,217
1825,4045006,2,251
4726747,2030,2,224
3813112,2364,2,222
4726763,1825,2,254
1834,1651,2,200
4472550,2030,2,191
2364,4037037,2,216
3764711,2364,2,223
4037298,2364,2,207
3813116,1825,2,208
2364,5122006,2,241
2364,5122008,2,233
1665,3887783,2,270
2364,5122007,2,254
3672237,1834,2,256
1834,4354172,2,199
1834,4354171,2,217
3813139,2149,2,224
1916,1657,2,143
2081,3747851,2,207
2081,3747850,2,227
1825,3687414,2,288
1825,3687413,2,216
1825,3687412,2,252
1825,3687411,2,252
1825,3687415,2,280
3813137,2149,2,284
5018435,2404,2,222
3343795,2094,2,180
4439519,1794,2,222
3672170,2339,2,256
2303,3893374,2,215
4473150,2364,2,213
2303,3893375,2,200
2082,3813091,2,288
3765234,2497,2,188
2082,3813092,2,237
3672262,1834,2,256
3807618,1781,2,208
1997,5138192,2,279
4726702,2391,2,208
3748016,2339,2,217
1997,5138195,2,211
2241,2537,2,133
3807590,2475,2,270
1997,5138194,2,197
2391,4037007,2,208
2339,4354462,2,217
2117,1956,2,900
2117,4035986,2,208
3764560,1794,2,199
2117,4035987,2,216
5138073,2404,2,243
2117,4035984,2,196
3764757,2364,2,228
2391,5151513,2,208
2392,2391,2,111
2117,4035985,2,216
2339,1833,2,90
2365,1825,2,293
3813038,2364,2,238
1997,5138048,2,197
2339,4354172,2,199
1997,5138047,2,279
2339,1835,2,180
2339,4354171,2,217
3672262,2339,2,256
2094,3765294,2,207
3765235,1687,2,208
4009617,2364,2,226
3740533,2497,2,188
1793,2404,2,90
5121382,1825,2,235
2339,1832,2,90
1834,4037174,2,186
3672237,2339,2,256
3807590,1665,2,270
1834,4037172,2,225
2030,4037216,2,259
1834,4037173,2,210
1825,3926246,2,251
1834,4037171,2,217
2030,4037215,2,241
3716925,2117,2,208
3764748,2364,2,221
2364,3887780,2,223
1825,3764967,2,213
2030,2084,2,223
1825,3764966,2,235
4037533,2117,2,208
1825,5151512,2,229
2185,2186,2,80
3765234,1687,2,188
1825,5151511,2,254
1825,5151510,2,235
4472544,2497,2,242
4726703,2475,2,277
3813138,2149,2,205
3813113,1825,2,222
3747992,2339,2,268
2404,4036786,2,243
3747992,1834,2,268
2404,4036787,2,222
4009667,2364,2,251
1687,1637,2,110
2186,4472998,2,212
4009617,1825,2,226
3813039,1825,2,213
4037251,1825,2,252
3747994,1834,2,199
1825,3764995,2,221
2364,3887778,2,280
1825,3764994,2,190
2364,3887779,2,288
1824,2364,2,368
2149,4035037,2,191
2149,4035036,2,208
3813137,2030,2,284
3813138,2030,2,205
3764758,2364,2,223
3748018,1834,2,267
2475,5151514,2,270
2094,3765270,2,227
2365,2364,2,307
4037296,1825,2,280
3764438,1997,2,270
4472543,1687,2,252
2339,3748067,2,199
2339,4354473,2,199
4471735,1794,2,243
3812934,2475,2,270
2339,3748066,2,188
3749893,1657,2,187
2475,3887783,2,270
4439518,2404,2,243
2364,3926186,2,241
2364,3926187,2,254
2030,4008222,2,191
3672169,1834,2,225
2475,4037008,2,270
4726761,2364,2,238
2525,1763,2,90
2030,4008223,2,208
3764560,2404,2,199
